rule	status
sets_eval_op	Proven
sets_ext	Proven
sets_insert_elim	Proven
sets_inter_comm	Proven
sets_inter_emp1	Proven
sets_inter_emp2	Proven
sets_inter_member	Proven
sets_is_empty_elim	Proven
sets_is_singleton_elim	Proven
sets_member_emp	Proven
sets_member_singleton	Proven
sets_minus_emp1	Proven
sets_minus_emp2	Proven
sets_minus_member	Proven
sets_minus_self	Proven
sets_singleton_inj	Proven
sets_subset_elim	Proven
sets_union_comm	Proven
sets_union_emp1	Proven
sets_union_emp2	Proven
sets_union_member	Proven
skolem_intro	Proven
skolemize	Proven
split	Proven
str_at_elim	Proven
str_concat_clash	Proven
str_concat_clash2	Proven
str_concat_clash2_rev	Proven
str_concat_clash_rev	Proven
str_concat_unify	Proven
str_concat_unify_base	Proven
str_concat_unify_base_rev	Proven
str_concat_unify_rev	Proven
str_contains_char	Proven
str_contains_concat_find	Proven
str_contains_concat_find_contra	Proven
str_contains_emp	Proven
str_contains_leq_len_eq	Proven
str_contains_refl	Proven
str_contains_repl_char	Proven
str_contains_repl_self	Proven
str_contains_repl_self_tgt_char	Proven
str_contains_repl_tgt	Proven
str_contains_split_char	Proven
str_ctn_multiset_subset	Proven
str_eq_ctn_false	Proven
str_eq_ctn_full_false1	Proven
str_eq_ctn_full_false2	Proven
str_eq_len_false	Proven
str_eq_repl_emp_tgt_nemp	Proven
str_eq_repl_len_one_emp_prefix	Proven
str_eq_repl_nemp_src_emp	Proven
str_eq_repl_no_change	Proven
str_eq_repl_self_emp	Proven
str_eq_repl_self_src	Proven
str_eq_repl_tgt_eq_len	Proven
str_from_int_no_ctn_nondigit	Proven
str_in_re_concat_star_char	Proven
str_in_re_consume	Proven
str_in_re_contains	Proven
str_in_re_eval	Proven
str_in_re_from_int_dig_range	Proven
str_in_re_from_int_nemp_dig_range	Proven
str_in_re_inter_elim	Proven
str_in_re_range_elim	Proven
str_in_re_sigma	Proven
str_in_re_sigma_star	Proven
str_in_re_union_elim	Proven
str_indexof_contains_concat_pre	Proven
str_indexof_contains_pre	Proven
str_indexof_eq_irr	Proven
str_indexof_find_emp	Proven
str_indexof_no_contains	Proven
str_indexof_oob	Proven
str_indexof_oob2	Proven
str_indexof_re_emp_re	Proven
str_indexof_re_eval	Proven
str_indexof_re_none	Proven
str_indexof_self	Proven
str_is_digit_elim	Proven
str_len_concat_rec	Proven
str_len_eq_zero_base	Proven
str_len_eq_zero_concat_rec	Proven
str_len_replace_all_inv	Proven
str_len_replace_inv	Proven
str_len_substr_in_range	Proven
str_len_update_inv	Proven
str_leq_concat_base_1	Proven
str_leq_concat_base_2	Proven
str_leq_concat_false	Proven
str_leq_concat_true	Proven
str_leq_empty	Proven
str_leq_empty_eq	Proven
str_lt_elim	Proven
str_overlap_endpoints_ctn	Proven
str_overlap_endpoints_indexof	Proven
str_overlap_endpoints_replace	Proven
str_overlap_split_ctn	Proven
str_prefixof_elim	Proven
str_prefixof_eq	Proven
str_prefixof_one	Proven
str_repl_repl_dual_ite1	Proven
str_repl_repl_dual_ite2	Proven
str_repl_repl_dual_self	Proven
str_repl_repl_len_id	Proven
str_repl_repl_lookahead_id_simp	Proven
str_repl_repl_src_inv_no_ctn1	Proven
str_repl_repl_src_inv_no_ctn2	Proven
str_repl_repl_src_inv_no_ctn3	Proven
str_repl_repl_src_self	Proven
str_repl_repl_src_tgt_no_ctn	Proven
str_repl_repl_tgt_no_ctn	Proven
str_repl_repl_tgt_self	Proven
str_replace_all_empty	Proven
str_replace_all_id	Proven
str_replace_all_no_contains	Proven
str_replace_all_self	Proven
str_replace_dual_ctn	Proven
str_replace_dual_ctn_false	Proven
str_replace_emp_ctn_src	Proven
str_replace_empty	Proven
str_replace_find_base	Proven
str_replace_find_first_concat	Proven
str_replace_find_pre	Proven
str_replace_id	Proven
str_replace_no_contains	Proven
str_replace_one_pre	Proven
str_replace_prefix	Proven
str_replace_re_all_eval	Proven
str_replace_re_all_none	Proven
str_replace_re_eval	Proven
str_replace_re_none	Proven
str_replace_self	Proven
str_replace_self_ctn_simp	Proven
str_substr_char_start_eq_len	Proven
str_substr_combine1	Proven
str_substr_combine2	Proven
str_substr_combine3	Proven
str_substr_combine4	Proven
str_substr_concat1	Proven
str_substr_concat2	Proven
str_substr_ctn	Proven
str_substr_ctn_contra	Proven
str_substr_empty_range	Proven
str_substr_empty_start	Proven
str_substr_empty_start_neg	Proven
str_substr_empty_str	Proven
str_substr_eq_empty	Proven
str_substr_eq_empty_leq_len	Proven
str_substr_full	Proven
str_substr_full_eq	Proven
str_substr_len_include	Proven
str_substr_len_include_pre	Proven
str_substr_len_norm	Proven
str_substr_replace	Proven
str_substr_substr_start_geq_len	Proven
str_substr_z_eq_empty_leq	Proven
str_suffixof_elim	Proven
str_suffixof_eq	Proven
str_suffixof_one	Proven
str_to_int_concat_neg_one	Proven
str_to_lower_concat	Proven
str_to_lower_from_int	Proven
str_to_lower_len	Proven
str_to_lower_upper	Proven
str_to_upper_concat	Proven
str_to_upper_from_int	Proven
str_to_upper_len	Proven
str_to_upper_lower	Proven
str_update_in_first_concat	Proven
string_code_inj	Proven
string_decompose	Proven
string_eager_reduction	Proven
string_ext	Proven
string_length_non_empty	Proven
string_length_pos	Proven
string_reduction	Proven
string_seq_unit_inj	Proven
symm	Proven
trans	Proven
true_elim	Proven
true_intro	Proven
ubv_to_int_elim	Proven
uf_bv2nat_geq_elim	Proven
uf_bv2nat_int2bv	Proven
uf_bv2nat_int2bv_extend	Proven
uf_bv2nat_int2bv_extract	Proven
uf_int2bv_bv2nat	Proven
uf_int2bv_bvule_equiv	Proven
uf_int2bv_bvult_equiv	Proven
uf_sbv_to_int_elim	Proven
xor_elim1	Proven
xor_elim2	Proven

summary
Proven	591
Unproven	0
OutOfScope	0
Total	591
